Wavelength,UV,VS,M,L
300,0.28930424,0.197056393,0.264643662,0.169088791
305,0.330718575,0.200346428,0.267804684,0.170631773
310,0.382050166,0.20795061,0.266659161,0.174833759
315,0.443843267,0.220321804,0.261754316,0.181765048
320,0.515923755,0.238019536,0.25399178,0.191160719
325,0.596986525,0.261713478,0.244434118,0.2025042
330,0.684192508,0.292157436,0.23413504,0.215075571
335,0.772897967,0.330126555,0.224024354,0.228002817
340,0.856671429,0.376308682,0.214853666,0.240336818
345,0.92774068,0.431142505,0.207191686,0.251151608
350,0.977930269,0.494602105,0.201451268,0.259655074
355,1,0.5659414,0.197931333,0.26528636
360,0.989118014,0.643432539,0.196861478,0.267777274
365,0.94407353,0.724156233,0.198442196,0.2671649
370,0.867832472,0.803921661,0.202877614,0.263756472
375,0.767197932,0.877397971,0.210399933,0.258059689
380,0.651613437,0.938517023,0.221285749,0.250697767
385,0.531429678,0.98115243,0.235864366,0.242327872
390,0.416120784,1,0.254517692,0.233576124
395,0.312915379,0.991501159,0.27767047,0.224995176
400,0.226122439,0.954596539,0.305768849,0.217044126
405,0.157177962,0.891101788,0.33924481,0.210086554
410,0.10522684,0.805573637,0.378464024,0.204400902
415,0.067955495,0.704664273,0.423655668,0.200197665
420,0.042410156,0.596102935,0.474824833,0.197639011
425,0.02562959,0.48754391,0.531651618,0.196857896
430,0.015031497,0.385543219,0.593385782,0.197975018
435,0.008576011,0.294867768,0.658751301,0.201112882
440,0.004771829,0.218228479,0.725880427,0.20640678
445,0.002596239,0.156408155,0.792300009,0.214012755
450,0.001384997,0.108666581,0.854992202,0.224112632
455,0.000726461,0.073270434,0.910545413,0.236916061
460,0.000375727,0.048010899,0.955398727,0.252659354
465,0.000192168,0.030618095,0.986165277,0.271600631
470,9.74759E-05,0.019034952,1,0.29401063
475,4.91794E-05,0.011556343,0.994960006,0.320158386
480,2.47511E-05,0.006864178,0.970296808,0.350290975
485,1.24617E-05,0.003996672,0.926623235,0.384606721
490,6.29453E-06,0.002285726,0.865915346,0.423221649
495,3.19863E-06,0.001286664,0.791338358,0.466129716
500,1.63972E-06,0.000714399,0.706919027,0.513158346
505,8.50245E-07,0.00039209,0.61711665,0.563922149
510,4.47119E-07,0.000213179,0.526363171,0.617779147
515,2.39061E-07,0.000115071,0.438645124,0.67379531
520,1.30279E-07,6.1802E-05,0.357186704,0.730724325
525,7.25364E-08,3.30981E-05,0.284268471,0.787009917
530,4.13573E-08,1.77137E-05,0.221187403,0.840817408
535,2.42006E-08,9.49416E-06,0.168338581,0.890099168
540,1.45648E-08,5.10702E-06,0.125381954,0.932695142
545,9.03376E-09,2.76281E-06,0.091451546,0.96646494
550,5.78587E-09,1.50626E-06,0.065367987,0.989442602
555,3.83365E-09,8.29256E-07,0.045825196,1
560,2.63248E-09,4.61924E-07,0.031534535,0.997000976
565,1.87655E-09,2.60843E-07,0.021321453,0.979926748
570,1.39086E-09,1.49597E-07,0.014178344,0.948954631
575,1.07347E-09,8.72956E-08,0.009282493,0.904976813
580,8.63949E-10,5.19213E-08,0.005989705,0.849553276
585,7.26037E-10,3.15298E-08,0.003813607,0.784801894
590,6.37882E-10,1.95807E-08,0.002398602,0.713237519
595,5.86591E-10,1.24552E-08,0.00149206,0.637578964
600,5.65214E-10,8.12733E-09,0.000919061,0.560546789
605,5.71223E-10,5.44814E-09,0.000561259,0.48467504
610,6.06059E-10,3.75713E-09,0.000340236,0.412156659
615,6.75629E-10,2.669E-09,0.000204992,0.344736103
620,7.91993E-10,1.95558E-09,0.000122906,0.283655033
625,9.76923E-10,1.47964E-09,7.34239E-05,0.229649364
630,1.26882E-09,1.15742E-09,4.37592E-05,0.182989696
635,1.73616E-09,9.37022E-10,2.60501E-05,0.143553156
640,2.50408E-09,7.85915E-10,1.55094E-05,0.110913072
645,3.80861E-09,6.83577E-10,9.24611E-06,0.084433628
650,6.11103E-09,6.17135E-10,5.5262E-06,0.063358961
655,1.03475E-08,5.78792E-10,3.31525E-06,0.046889394
660,1.84945E-08,5.64366E-10,1.99868E-06,0.034240876
665,3.4901E-08,5.72554E-10,1.2123E-06,0.024686688
670,6.95494E-08,6.04768E-10,7.40641E-07,0.017582699
675,1.46374E-07,6.65511E-10,4.56274E-07,0.012378894
680,3.25371E-07,7.63433E-10,2.8375E-07,0.008620476
685,7.63938E-07,9.13417E-10,1.78322E-07,0.005941863
690,1.8945E-06,1.14042E-09,1.13366E-07,0.004056516
695,4.96213E-06,1.48645E-09,7.29809E-08,0.002744907
700,1.37259E-05,2.02348E-09,4.7623E-08,0.001842285
