Wavelength,UV,M,L
300,0.240310539,0.259154336,0.180403569
305,0.266618525,0.250067491,0.189891132
310,0.300791625,0.239489522,0.201595179
315,0.343763413,0.228606371,0.214710511
320,0.396306644,0.218409615,0.228244041
325,0.458786372,0.20966059,0.241107481
330,0.530837748,0.202910268,0.252243069
335,0.611000732,0.198548807,0.260762265
340,0.696381701,0.196864085,0.266064797
345,0.782450596,0.198096541,0.267907882
350,0.863103734,0.202484368,0.266410515
355,0.931104256,0.210297295,0.261997688
360,0.978938344,0.221859043,0.255305258
365,1,0.23755867,0.247072486
370,0.989875057,0.257850181,0.238045907
375,0.947395041,0.283238617,0.228909088
380,0.875132941,0.31424959,0.220242688
385,0.779140652,0.35137864,0.212511617
390,0.667948989,0.395017041,0.20607205
395,0.551081877,0.445352534,0.201190345
400,0.437480643,0.502247278,0.198067115
405,0.334234292,0.565101379,0.196861717
410,0.24587641,0.632718244,0.197714391
415,0.174306822,0.703196526,0.200764723
420,0.119213108,0.773880203,0.206166087
425,0.078765734,0.841400259,0.214096077
430,0.050355372,0.901835294,0.224763064
435,0.031205401,0.951002214,0.238408826
440,0.018782251,0.984862615,0.255306919
445,0.01100337,1,0.275756151
450,0.006288517,0.9940953,0.300068223
455,0.003514374,0.966312687,0.328548434
460,0.001925297,0.917512156,0.361468399
465,0.001036578,0.850232231,0.399030015
470,0.000549907,0.768430929,0.441320636
475,0.000288207,0.677024374,0.488260598
480,0.000149624,0.581305805,0.53954584
485,7.71516E-05,0.486350631,0.594590404
490,3.96178E-05,0.396509629,0.652475745
495,2.03138E-05,0.315064873,0.711915717
500,1.04278E-05,0.244081246,0.771247191
505,5.37304E-06,0.184443225,0.828456081
510,2.78603E-06,0.136033506,0.88124634
515,1.4574E-06,0.097993233,0.927155188
520,7.71022E-07,0.069003693,0.963711514
525,4.13511E-07,0.047541891,0.98862675
530,2.25348E-07,0.032081079,1
535,1.25068E-07,0.021225854,0.996513246
540,7.08465E-08,0.013785778,0.977589923
545,4.10474E-08,0.008799963,0.943492091
550,2.43744E-08,0.005528038,0.895338182
555,1.48633E-08,0.003421995,0.835034081
560,9.32484E-09,0.002090262,0.765123168
565,6.02972E-09,0.001261665,0.688573406
570,4.02557E-09,0.00075358,0.608529032
575,2.77935E-09,0.000446052,0.52805891
580,1.98755E-09,0.000262028,0.449932437
585,1.47434E-09,0.000152987,0.376447469
590,1.13601E-09,8.89089E-05,0.30932479
595,9.10432E-10,5.15064E-05,0.249672437
600,7.59855E-10,2.97879E-05,0.198012991
605,6.61208E-10,1.72233E-05,0.154359489
610,6.0054E-10,9.97045E-06,0.118321813
615,5.69881E-10,5.78709E-06,0.089225205
620,5.65555E-10,3.3726E-06,0.066225219
625,5.87481E-10,1.97621E-06,0.048407749
630,6.3928E-10,1.16589E-06,0.034867722
635,7.29273E-10,6.93457E-07,0.024764432
640,8.72737E-10,4.16381E-07,0.017354975
645,1.09633E-09,2.52713E-07,0.012009344
650,1.44643E-09,1.55229E-07,0.008211753
655,2.00529E-09,9.66182E-08,0.00555273
660,2.92257E-09,6.10095E-08,0.003715987
665,4.47954E-09,3.91282E-08,0.002463144
670,7.22312E-09,2.55165E-08,0.001618498
675,1.22564E-08,1.69379E-08,0.00105513
680,2.18904E-08,1.14568E-08,0.000683031
685,4.116E-08,7.90429E-09,0.000439429
690,8.14881E-08,5.56783E-09,0.000281208
695,1.69884E-07,4.00809E-09,0.000179158
700,3.72976E-07,2.95126E-09,0.000113734
