Wavelength,UV,M,L
300,0.240310539,0.264643662,0.180403569
305,0.266618525,0.267804684,0.189891132
310,0.300791625,0.266659161,0.201595179
315,0.343763413,0.261754316,0.214710511
320,0.396306644,0.25399178,0.228244041
325,0.458786372,0.244434118,0.241107481
330,0.530837748,0.23413504,0.252243069
335,0.611000732,0.224024354,0.260762265
340,0.696381701,0.214853666,0.266064797
345,0.782450596,0.207191686,0.267907882
350,0.863103734,0.201451268,0.266410515
355,0.931104256,0.197931333,0.261997688
360,0.978938344,0.196861478,0.255305258
365,1,0.198442196,0.247072486
370,0.989875057,0.202877614,0.238045907
375,0.947395041,0.210399933,0.228909088
380,0.875132941,0.221285749,0.220242688
385,0.779140652,0.235864366,0.212511617
390,0.667948989,0.254517692,0.20607205
395,0.551081877,0.27767047,0.201190345
400,0.437480643,0.305768849,0.198067115
405,0.334234292,0.33924481,0.196861717
410,0.24587641,0.378464024,0.197714391
415,0.174306822,0.423655668,0.200764723
420,0.119213108,0.474824833,0.206166087
425,0.078765734,0.531651618,0.214096077
430,0.050355372,0.593385782,0.224763064
435,0.031205401,0.658751301,0.238408826
440,0.018782251,0.725880427,0.255306919
445,0.01100337,0.792300009,0.275756151
450,0.006288517,0.854992202,0.300068223
455,0.003514374,0.910545413,0.328548434
460,0.001925297,0.955398727,0.361468399
465,0.001036578,0.986165277,0.399030015
470,0.000549907,1,0.441320636
475,0.000288207,0.994960006,0.488260598
480,0.000149624,0.970296808,0.53954584
485,7.71516E-05,0.926623235,0.594590404
490,3.96178E-05,0.865915346,0.652475745
495,2.03138E-05,0.791338358,0.711915717
500,1.04278E-05,0.706919027,0.771247191
505,5.37304E-06,0.61711665,0.828456081
510,2.78603E-06,0.526363171,0.88124634
515,1.4574E-06,0.438645124,0.927155188
520,7.71022E-07,0.357186704,0.963711514
525,4.13511E-07,0.284268471,0.98862675
530,2.25348E-07,0.221187403,1
535,1.25068E-07,0.168338581,0.996513246
540,7.08465E-08,0.125381954,0.977589923
545,4.10474E-08,0.091451546,0.943492091
550,2.43744E-08,0.065367987,0.895338182
555,1.48633E-08,0.045825196,0.835034081
560,9.32484E-09,0.031534535,0.765123168
565,6.02972E-09,0.021321453,0.688573406
570,4.02557E-09,0.014178344,0.608529032
575,2.77935E-09,0.009282493,0.52805891
580,1.98755E-09,0.005989705,0.449932437
585,1.47434E-09,0.003813607,0.376447469
590,1.13601E-09,0.002398602,0.30932479
595,9.10432E-10,0.00149206,0.249672437
600,7.59855E-10,0.000919061,0.198012991
605,6.61208E-10,0.000561259,0.154359489
610,6.0054E-10,0.000340236,0.118321813
615,5.69881E-10,0.000204992,0.089225205
620,5.65555E-10,0.000122906,0.066225219
625,5.87481E-10,7.34239E-05,0.048407749
630,6.3928E-10,4.37592E-05,0.034867722
635,7.29273E-10,2.60501E-05,0.024764432
640,8.72737E-10,1.55094E-05,0.017354975
645,1.09633E-09,9.24611E-06,0.012009344
650,1.44643E-09,5.5262E-06,0.008211753
655,2.00529E-09,3.31525E-06,0.00555273
660,2.92257E-09,1.99868E-06,0.003715987
665,4.47954E-09,1.2123E-06,0.002463144
670,7.22312E-09,7.40641E-07,0.001618498
675,1.22564E-08,4.56274E-07,0.00105513
680,2.18904E-08,2.8375E-07,0.000683031
685,4.116E-08,1.78322E-07,0.000439429
690,8.14881E-08,1.13366E-07,0.000281208
695,1.69884E-07,7.29809E-08,0.000179158
700,3.72976E-07,4.7623E-08,0.000113734
