,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,39.50815,60.12484,82.53624,94.68245,112.22328,126.01079,135.49422,140.3737,148.47593,148.75691,148.30305,142.49947,136.57343,122.26789,106.03782,86.51481,75.63818,54.50505,56.53766,59.14119,74.96029,102.16272,117.9565,118.39368,104.02255,83.15639,49.44258,23.87093,8.79958,18.9014,28.73148,38.112,44.43646,49.0671,55.446,63.80163,81.2743,102.28119,170.71423,145.38827
690 nm,39.50815,0,21.64067,45.42301,59.01859,78.32382,93.40512,104.31991,110.68777,120.57056,122.77331,124.58899,120.30522,116.92576,105.65272,92.42495,75.90271,66.5752,48.08832,49.88521,52.26059,66.51864,91.19707,105.83193,106.72157,94.3882,75.7901,45.24566,21.88927,8.10647,17.41923,26.54461,35.21074,40.98794,45.1469,50.70611,57.89441,72.8869,90.82697,148.25932,130.91231
680 nm,60.12484,21.64067,0,24.34956,38.79654,59.3032,75.25981,87.07528,94.35804,105.27508,108.54826,111.62156,108.17271,106.1917,96.58411,85.00821,70.11361,61.59232,44.23122,45.42621,47.28364,60.29202,83.19072,97.13019,98.5205,87.87981,70.97215,42.58714,20.64174,7.64742,16.42862,24.97698,33.00438,38.2913,41.93419,46.67316,52.88677,66.09176,82.00465,132.78623,120.66797
671 nm,82.53624,45.42301,24.34956,0,15.14294,36.86601,53.81129,66.67759,75.04599,87.19313,91.73561,96.30231,93.84356,93.52261,85.89172,76.28004,63.30157,55.71286,39.51417,39.72233,40.71259,52.00801,72.58194,85.66759,87.8064,79.55598,64.94856,39.3494,19.13738,7.09225,15.22668,23.05041,30.26106,34.92173,37.89832,41.60016,46.62665,57.75851,71.43377,115.42915,108.15514
660 nm,94.68245,59.01859,38.79654,15.14294,0,22.44071,40.06234,53.64383,62.76996,75.74707,81.11197,86.64656,84.82283,85.57013,79.21195,70.87554,59.09283,52.03466,36.05276,34.74176,34.33386,43.75388,62.12904,74.54485,77.61398,72.0554,59.86874,36.85302,18.01787,6.66432,14.28652,21.43333,27.8126,31.81858,34.01609,36.52446,40.31248,49.5804,61.48855,100.77314,98.05994
650 nm,112.22328,78.32382,59.3032,36.86601,22.44071,0,18.28569,32.78043,42.94918,57.17641,63.85706,70.96033,70.17825,72.68567,68.42911,62.21043,52.43225,46.30889,31.02829,27.35754,24.41427,30.58482,45.40827,56.57111,60.86954,59.57815,51.59735,33.07573,16.41311,6.08787,13.00516,19.23626,24.43307,27.49339,28.61968,29.52094,31.68363,38.67907,48.61485,83.01187,84.88389
640 nm,126.01079,93.40512,75.25981,53.81129,40.06234,18.28569,0,15.11614,26.08213,41.3236,49.11807,57.55459,57.66879,61.69316,59.26146,54.89126,46.93523,41.72536,27.62419,22.34604,17.06154,19.95002,31.70818,41.537,46.33868,48.02933,43.72094,29.66217,15.06716,5.62764,11.95457,17.36738,21.49201,23.7388,24.01036,23.71053,24.75929,30.46643,39.44387,71.32296,75.66749
632 nm,135.49422,104.31991,87.07528,66.67759,53.64383,32.78043,15.11614,0,11.56674,27.66517,36.42077,45.99906,46.88987,52.23021,51.40366,48.67153,42.42722,38.12992,25.61811,19.46256,12.20911,10.5197,19.06523,27.4508,32.19754,35.73452,34.65182,25.7374,13.6767,5.16615,10.84442,15.22746,18.11434,19.54468,18.99952,17.58514,17.73869,22.91231,31.68213,62.31185,68.46495
620 nm,140.3737,110.68777,94.35804,75.04599,62.76996,42.94918,26.08213,11.56674,0,16.688,26.24369,36.76042,38.29504,44.73379,45.26808,43.95099,39.26646,35.85796,25.28815,19.21696,11.89588,4.70362,7.11553,14.26909,18.51078,22.42754,23.32765,20.1973,12.06524,4.74565,9.62376,12.65563,14.29885,15.09211,13.90986,11.44007,10.84597,16.49332,25.72729,55.83597,63.25137
610 nm,148.47593,120.57056,105.27508,87.19313,75.74707,57.17641,41.3236,27.66517,16.688,0,10.61099,22.50312,24.99165,33.02933,35.52626,36.20501,33.75042,31.63583,24.13052,19.42067,14.27949,9.03323,4.56599,7.00827,9.6062,11.69976,11.65891,11.07574,8.59077,4.03562,7.43019,9.25582,10.40152,11.04163,9.6714,6.38287,5.08124,12.01144,21.36396,49.62981,57.04658
