,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,34.49232,52.77599,72.81538,83.9875,100.21306,113.20254,122.73455,128.35668,137.33991,139.4485,141.11133,137.03021,133.37051,121.60258,107.18035,88.80775,78.16799,56.44076,57.44587,59.10763,73.92557,98.27192,109.31621,105.85615,88.96344,69.525,40.76031,19.74465,7.69807,16.62683,26.68866,36.75278,43.55632,49.74436,58.10167,67.24609,83.51215,101.56012,158.50942,126.43636
690 nm,34.49232,0,19.08136,40.17885,52.46527,70.00684,83.94662,94.51612,101.22082,111.53044,115.09222,118.54677,115.68648,114.18,105.07229,93.41273,77.91285,68.80668,49.82192,50.71634,52.25556,65.63941,87.84004,98.28446,95.64285,80.87606,63.44283,37.31802,18.11312,7.10394,15.35,24.70422,33.9957,40.19673,45.7361,53.01052,60.81875,74.5694,89.70867,136.74851,113.74049
680 nm,52.77599,19.08136,0,21.55142,34.52104,53.02445,67.64996,78.90086,86.29317,97.38466,101.75879,106.20743,104.01787,103.69349,96.04684,85.90722,71.96744,63.66291,45.87668,46.25063,47.32584,59.54861,80.28463,90.48254,88.59958,75.50672,59.51034,35.14478,17.0816,6.69862,14.4696,23.22296,31.81695,37.47789,42.37977,48.66575,55.38656,67.29724,80.48005,121.53913,104.5097
671 nm,72.81538,40.17885,21.55142,0,13.51522,32.98114,48.38169,60.4284,68.63876,80.66196,85.99993,91.62948,90.23549,91.31437,85.40195,77.0696,64.96761,57.59238,41.06687,40.56053,40.82915,51.45019,70.29215,80.25759,79.47835,68.71914,54.64111,32.50853,15.83818,6.20694,13.39797,21.39388,29.09423,34.06506,38.15246,43.20595,48.61886,58.41997,69.47791,104.58505,93.2407
660 nm,83.9875,52.46527,34.52104,13.51522,0,20.06736,36.01975,48.62173,57.41714,70.07777,76.04261,82.43859,81.55514,83.53667,78.74121,71.58198,60.63051,53.79023,37.58146,35.65852,34.55824,43.39129,60.48344,70.44763,70.98294,62.79982,50.66011,30.50488,14.91196,5.81891,12.53925,19.8129,26.59661,30.84365,34.0194,37.7216,41.79964,49.68111,59.03282,90.07337,84.05547
650 nm,100.21306,70.00684,53.02445,32.98114,20.06736,0,16.45191,29.72371,39.29592,52.90195,59.86642,67.50409,67.45899,70.92884,67.97837,62.76707,53.74146,47.83801,32.47879,28.38702,24.81046,30.47392,44.62084,54.35711,56.86182,53.0151,44.31289,27.52932,13.59742,5.30833,11.39639,17.70604,23.18415,26.38482,28.29165,30.17627,32.5392,38.15224,45.69006,72.82391,72.34886
640 nm,113.20254,83.94662,67.64996,48.38169,36.01975,16.45191,0,13.71529,23.86869,38.23561,46.04539,54.73835,55.41534,60.16831,58.8202,55.30883,48.02824,43.03087,28.94209,23.4164,17.60072,19.97862,31.39823,40.50985,44.19446,43.77742,38.30284,24.90265,12.50713,4.90516,10.4691,15.92036,20.21718,22.52501,23.42841,23.98934,25.21973,29.5775,36.29537,61.66947,64.29905
632 nm,122.73455,94.51612,78.90086,60.4284,48.62173,29.72371,13.71529,0,10.59174,25.59877,34.13704,43.73209,45.0348,50.89988,50.96105,48.95525,43.30883,39.20885,26.75187,20.48263,12.86246,10.6554,19.01145,27.17445,31.38891,33.55114,31.2669,21.96421,11.39817,4.49397,9.47328,13.83169,16.76903,18.18998,18.1591,17.56085,17.92666,21.71888,28.3236,53.11193,58.05171
620 nm,128.35668,101.22082,86.29317,68.63876,57.41714,39.29592,23.86869,10.59174,0,15.44873,24.59241,34.9281,36.75054,43.54334,44.79961,44.09319,39.93126,36.69869,26.18527,20.05891,12.4597,4.98236,7.19631,14.43996,18.55828,21.87895,22.03737,17.92321,10.18845,4.11927,8.37943,11.29534,12.85619,13.57614,12.80402,11.17429,10.87219,14.9711,22.14691,47.01384,53.58178
610 nm,137.33991,111.53044,97.38466,80.66196,70.07777,52.90195,38.23561,25.59877,15.44873,0,9.94825,21.36835,23.95969,32.10207,35.07963,36.2055,34.16175,32.18931,24.72808,19.97688,14.59845,9.1341,4.66958,7.40488,10.04962,11.95917,11.63699,10.56284,7.61527,3.50014,6.4452,8.01528,8.95187,9.46727,8.38536,5.91985,5.03805,10.26898,17.83564,41.51411,48.31858
600 nm,139.4485,115.09222,101.75879,85.99993,76.04261,59.86642,46.04539,34.13704,24.59241,9.94825,0,12.00667,15.10347,24.1173,28.19858,30.47401,29.79532,28.63235,23.11869,19.4063,15.41655,11.50689,8.11431,8.35317,9.44712,9.75193,8.07362,5.59526,4.67067,2.65328,4.81084,6.32856,7.30709,7.84347,6.71924,3.80055,2.3339,8.60822,16.08063,38.52283,45.02544
589 nm,141.11133,118.54677,106.20743,91.62948,82.43859,67.50409,54.73835,43.73209,34.9281,21.36835,12.00667,0,3.64996,13.71864,19.22736,22.9773,24.00333,23.84241,20.69518,18.23789,15.78085,13.42146,11.35324,11.04205,11.26632,10.61812,8.5935,5.48061,4.24671,2.03408,3.9468,5.42657,6.36429,6.87506,5.82132,2.9136,0.9486,7.59147,14.51255,35.0225,40.85189
580 nm,137.03021,115.68648,104.01787,90.23549,81.55514,67.45899,55.41534,45.0348,36.75054,23.95969,15.10347,3.64996,0,10.26673,16.20288,20.38504,21.92103,22.05433,19.57997,17.49385,15.43116,13.47178,11.79229,11.54821,11.71657,11.02572,9.13365,6.32421,4.78308,2.2384,4.02988,5.35825,6.23832,6.72585,5.71169,2.95457,1.27037,7.4197,14.10841,33.93178,39.50034
570 nm,133.37051,114.18,103.69349,91.31437,83.53667,70.92884,60.16831,50.89988,43.54334,32.10207,24.1173,13.71864,10.26673,0,7.0251,12.51779,15.55114,16.53012,15.91545,14.74461,13.62754,12.50923,11.56518,11.48269,11.61389,10.97695,9.43007,7.11002,5.05377,2.26308,3.99775,5.05788,5.79653,6.22103,5.33304,3.01218,1.83891,6.85674,12.81478,30.46496,35.16489
