,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,38.89324,59.3832,82.20645,93.96105,109.54326,119.05088,124.12369,122.86518,122.31951,115.75168,107.02515,98.33384,86.85291,71.04082,55.64138,37.51132,27.5264,11.2984,24.42031,35.87639,54.51791,80.83085,95.36167,95.04788,79.72851,59.62142,29.52113,7.90542,20.04191,27.02947,31.99766,35.93712,38.45442,38.59666,39.7091,44.7662,60.44601,81.02389,149.18712,137.62368
690 nm,38.89324,0,21.63824,46.09454,59.73025,77.8454,89.43648,96.82695,98.08191,100.32258,96.47872,90.68562,83.78546,74.96248,61.92356,48.98217,33.27991,24.51802,9.76439,21.4088,31.75063,48.60783,72.54627,86.00597,86.09105,72.62936,54.49611,27.06034,7.27675,18.48395,24.92808,29.55918,33.21507,35.51468,35.61001,36.48708,40.87929,54.72362,72.91244,132.3509,124.8114
680 nm,59.3832,21.63824,0,25.15768,39.87875,59.59376,72.48937,81.28772,84.0523,87.92236,85.63314,81.50726,75.6181,68.29308,56.82216,45.27635,30.98504,22.9239,8.59161,19.03393,28.63326,44.28674,66.61031,79.41774,79.92694,67.94324,51.20955,25.51273,6.86122,17.42186,23.48536,27.77719,31.08326,33.12086,32.99287,33.46258,37.29315,49.95309,66.67343,120.80751,116.15631
671 nm,82.20645,46.09454,25.15768,0,15.69451,37.13339,51.55687,62.05616,66.67103,72.55442,72.19413,70.14541,65.51689,60.06728,50.56273,40.78235,28.25892,21.07317,7.02502,15.68551,24.3253,38.41214,58.6255,70.63098,71.80654,61.94233,47.0986,23.61354,6.35742,16.13155,21.72566,25.59949,28.47519,30.19451,29.80719,29.80327,32.97401,44.24881,59.27344,107.54828,105.1976
660 nm,93.96105,59.73025,39.87875,15.69451,0,22.38509,37.82123,49.47128,55.35748,62.60306,63.51866,62.84919,59.0521,54.84955,46.66672,38.1066,26.83213,20.26437,5.7716,11.97789,19.80386,32.50943,50.81357,62.19892,64.2408,56.77664,43.82844,22.20714,5.97262,15.10689,20.30724,23.73052,26.09592,27.43677,26.6319,25.93988,28.41282,38.62361,52.44568,96.58843,96.25705
650 nm,109.54326,77.8454,59.59376,37.13339,22.38509,0,16.54405,29.7871,37.52211,46.83822,49.76363,51.2958,48.84076,46.67621,40.6679,34.15352,24.9619,19.49306,5.90557,5.65679,12.30068,22.80272,37.94619,48.13567,51.44175,48.11028,38.61129,20.1345,5.44499,13.69202,18.31621,21.12196,22.80287,23.64445,22.34105,20.79066,22.36594,31.25475,43.57287,82.69117,83.4494
640 nm,119.05088,89.43648,72.48937,51.55687,37.82123,16.54405,0,14.22162,23.34233,34.2685,38.79724,42.09084,40.72031,40.21453,35.99772,31.18728,23.81307,19.37851,8.24333,0.83736,6.42197,14.89802,27.15387,35.91702,39.80741,39.78219,33.70131,18.39043,5.02522,12.5168,16.62536,18.86665,19.96227,20.40784,18.71559,16.47531,17.42936,25.66591,37.1503,73.17598,74.00564
632 nm,124.12369,96.82695,81.28772,62.05616,49.47128,29.7871,14.22162,0,10.14809,22.51687,28.55147,33.48751,33.13622,34.19341,31.68483,28.50242,22.96063,19.61162,11.28944,5.21805,4.4682,8.66082,17.33882,24.10522,27.80452,30.08611,27.67894,16.48908,4.60619,11.25159,14.77404,16.40453,16.95565,17.07156,15.03801,12.0925,12.56803,20.71662,31.72977,65.35846,65.97844
620 nm,122.86518,98.08191,84.0523,66.67103,55.35748,37.52211,23.34233,10.14809,0,13.217,20.46882,26.75581,27.25101,29.62756,28.59543,26.85776,23.03651,20.74188,15.05972,10.74962,9.30608,8.25968,10.35904,13.62793,15.89299,18.26493,18.89998,13.9773,4.21417,9.80357,12.66522,13.78748,13.99931,13.92915,11.61193,7.75862,7.87388,16.76726,27.65406,59.53188,60.01047
610 nm,122.31951,100.32258,87.92236,72.55442,62.60306,46.83822,34.2685,22.51687,13.217,0,8.57603,16.64568,18.3078,22.45787,23.3583,23.40256,21.61519,20.48902,17.3897,14.68742,13.9268,12.55431,11.00826,10.05105,9.44213,7.88429,6.83886,8.18306,3.46442,7.61045,9.98695,11.10453,11.3594,11.2983,8.97612,4.36649,4.24828,13.86903,24.13914,53.01816,53.33187
