,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,36.00954,55.07022,76.63683,88.15332,104.08047,114.41348,120.71644,121.15808,122.36947,117.06691,109.39309,100.92705,89.34722,72.66287,55.55355,36.68763,27.50368,23.0592,39.45703,51.86346,70.62925,93.9849,102.39927,96.52865,76.49231,55.91298,27.42355,7.52732,19.3055,26.05724,31.51605,36.1869,39.20807,40.44408,42.88026,48.24287,62.56261,80.90859,141.83158,129.61639
690 nm,36.00954,0,19.96628,42.81911,55.81416,73.77442,85.80774,94.06322,96.66265,100.35846,97.59366,92.73787,86.04698,77.17744,63.4001,48.9748,32.5215,24.29563,19.46695,33.93934,45.05506,61.91016,83.16629,91.38389,86.8139,69.45888,51.03892,25.13526,6.93646,17.81653,24.03081,29.06073,33.27241,35.92258,36.85523,38.68902,43.12873,55.39424,71.21608,123.17944,116.49643
680 nm,55.07022,19.96628,0,23.41853,37.25448,56.47806,69.55477,78.97539,82.84908,87.97851,86.65391,83.39705,77.71181,70.38263,58.2686,45.39705,30.30529,22.51853,16.50392,29.48416,39.67588,55.16702,74.95666,83.21123,79.82415,64.67229,47.85213,23.68059,6.53518,16.76233,22.58113,27.17308,30.88377,33.15478,33.68626,34.87055,38.57192,49.51151,63.83834,110.79421,107.3895
671 nm,76.63683,42.81911,23.41853,0,14.60695,35.19383,49.48875,60.31384,65.74536,72.64568,73.10958,71.8452,67.41441,62.01388,51.98682,41.08069,27.71032,20.48662,12.52224,23.46237,32.45425,46.17084,64.02534,72.33375,70.57459,58.49304,43.84474,21.89517,6.05065,15.48369,20.81279,24.863,27.95999,29.77531,29.84,30.27813,33.14669,42.6443,55.389,97.27543,96.2504
660 nm,88.15332,55.81416,37.25448,14.60695,0,21.35261,36.45002,48.21024,54.68742,62.76434,64.40473,64.46038,60.86224,56.75948,48.16121,38.64958,26.50128,19.63469,8.561,17.16279,25.08597,37.19915,53.24457,61.66202,61.64876,52.92947,40.53748,20.5513,5.67178,14.4277,19.32035,22.76812,25.15523,26.45591,25.91545,25.44148,27.49491,35.98247,47.76575,86.57495,87.4403
650 nm,104.08047,73.77442,56.47806,35.19383,21.35261,0,16.03321,29.14712,37.18801,47.08929,50.60389,52.7769,50.52365,48.53307,42.27623,35.08077,25.14083,19.26221,5.34002,7.41031,13.87331,23.58652,36.58466,44.52704,46.68114,43.29612,35.0333,18.54001,5.15888,12.9528,17.17814,19.75459,21.17535,21.81473,20.547,18.95111,20.05815,27.60042,38.43687,73.7887,75.65199
640 nm,114.41348,85.80774,69.55477,49.48875,36.45002,16.03321,0,13.97811,23.21836,34.55351,39.56942,43.43229,42.26245,41.97767,37.6358,32.3424,24.4189,19.67086,8.01368,0.86731,6.28896,13.97286,24.1925,30.94004,33.8412,33.96064,29.53789,16.76952,4.74596,11.66611,15.27194,17.10318,17.82907,18.0491,16.32069,13.93901,14.51527,21.91706,32.39828,65.6378,67.59289
632 nm,120.71644,94.06322,78.97539,60.31384,48.21024,29.14712,13.97811,0,10.14279,22.77444,29.20312,34.63875,34.48333,35.79477,33.26233,29.75891,23.86593,20.33079,11.86219,6.31058,5.38144,8.12584,14.50493,19.20885,21.69332,23.3568,22.36218,14.62469,4.31674,10.17504,13.10651,14.30785,14.58434,14.56357,12.51292,9.36278,9.59138,17.45166,27.78109,59.18697,61.01488
620 nm,121.15808,96.66265,82.84908,65.74536,54.68742,37.18801,23.21836,10.14279,0,13.40902,20.98483,27.71444,28.39859,31.04826,30.06304,28.12039,24.09997,21.71615,16.09851,12.30713,11.14835,10.19822,10.6129,11.51927,12.01146,11.82552,11.57954,10.74291,3.79674,8.27459,10.68678,11.69766,11.88796,11.80697,9.53121,5.34564,5.3098,14.36611,24.64628,54.54028,56.287
610 nm,122.36947,100.35846,87.97851,72.64568,62.76434,47.08929,34.55351,22.77444,13.40902,0,8.82607,17.25366,19.07805,23.48915,24.46766,24.37735,22.45504,21.26727,18.2226,15.90291,15.40268,14.5224,13.4241,12.26719,11.13199,7.96292,3.36766,3.7069,2.49221,6.39746,8.68264,9.8142,10.07758,10.02273,7.81481,3.0866,2.86948,12.39288,21.97369,49.07793,50.54535
