,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,4.37174,10.05906,16.94499,22.33388,27.91257,31.46533,34.00107,35.44755,36.31564,36.46792,35.781,35.13603,33.71522,31.94323,29.92666,27.86515,26.5469,23.40059,21.65224,18.99699,16.06442,11.73038,8.14011,5.69345,3.09538,2.29663,3.03078,3.65339,5.78271,6.67033,8.16155,9.55231,10.24411,11.19665,12.68515,14.20579,17.07867,20.09553,29.32434,18.57093
690 nm,4.37174,0,5.62976,12.55542,18.05291,23.83677,27.57696,30.3262,32.00253,33.15169,33.55898,33.16176,32.69555,31.55763,30.07102,28.3206,26.48392,25.28188,22.34339,20.66651,18.11984,15.28121,11.12322,7.81903,5.72356,3.80815,3.33705,3.6292,3.94473,5.83139,6.67951,8.11271,9.47708,10.17078,11.12362,12.62974,14.19464,17.1432,20.22122,29.18062,19.00891
680 nm,10.05906,5.62976,0,7.28231,13.20357,19.53278,23.68745,26.82476,28.85194,30.39019,31.12018,31.03478,30.74553,29.85546,28.58509,26.99987,25.26737,24.10171,21.18372,19.48616,16.94461,14.19147,10.4043,7.72265,6.26932,5.17049,4.84706,4.55403,4.39895,5.87717,6.6697,8.02846,9.36002,10.05795,11.00337,12.5162,14.12698,17.16766,20.33619,29.22607,19.67264
671 nm,16.94499,12.55542,7.28231,0,6.33451,13.33816,18.02383,21.65766,24.12943,26.15475,27.28526,27.58683,27.51841,26.9425,25.95609,24.60216,23.03323,21.93465,19.10694,17.46649,15.10441,12.68887,9.744,8.1678,7.56079,7.13627,6.79455,5.81828,5.04641,5.89933,6.61197,7.87164,9.15648,9.85815,10.77623,12.26314,13.90344,17.02203,20.2732,29.04214,20.4797
660 nm,22.33388,18.05291,13.20357,6.33451,0,7.39849,12.49523,16.54206,19.39705,21.85075,23.34085,24.0025,24.14448,23.87786,23.18217,22.07558,20.69259,19.68336,17.06696,15.59016,13.51276,11.51339,9.47601,8.86129,8.81262,8.72481,8.32851,6.86176,5.60448,5.87122,6.49912,7.6504,8.87318,9.56855,10.44165,11.87174,13.50823,16.63891,19.89832,28.36992,20.90243
650 nm,27.91257,23.83677,19.53278,13.33816,7.39849,0,5.40548,9.87441,13.16057,16.11356,18.03268,19.13565,19.54006,19.66677,19.34902,18.57618,17.47908,16.64058,14.44958,13.24585,11.56888,10.12438,9.16953,9.48722,9.92014,10.17465,9.8092,7.95734,6.21363,5.7547,6.25637,7.23509,8.3374,9.00197,9.78126,11.07987,12.65207,15.67723,18.80677,26.54369,20.61329
640 nm,31.46533,27.57696,23.68745,18.02383,12.49523,5.40548,0,4.66197,8.22164,11.52302,13.7526,15.18133,15.78202,16.20707,16.18434,15.69226,14.86452,14.19105,12.37094,11.37984,9.99862,8.93729,8.63765,9.44134,10.14392,10.70271,10.50189,8.5913,6.58729,5.58817,5.97335,6.78373,7.75593,8.37885,9.05678,10.2079,11.68705,14.55472,17.51211,24.65949,19.88644
632 nm,34.00107,30.3262,26.82476,21.65766,16.54206,9.87441,4.66197,0,3.71292,7.28153,9.77363,11.48973,12.26702,12.9676,13.22892,13.02153,12.46453,11.94849,10.45415,9.61857,8.44598,7.59851,7.58929,8.58796,9.44576,10.33397,10.46294,8.83887,6.76879,5.32257,5.57142,6.16945,6.96915,7.53217,8.08653,9.05594,10.40628,13.0574,15.79827,22.47759,18.7765
620 nm,35.44755,32.00253,28.85194,24.12943,19.39705,13.16057,8.22164,3.71292,0,3.71017,6.391,8.3351,9.25706,10.19114,10.70164,10.74996,10.4309,10.04907,8.81392,8.05706,6.98446,6.13233,5.98016,6.85514,7.70949,8.83677,9.39517,8.47734,6.63668,4.91888,5.01177,5.35456,5.95388,6.45289,6.8788,7.65455,8.86098,11.29295,13.8455,20.35819,17.57602
610 nm,36.31564,33.15169,30.39019,26.15475,21.85075,16.11356,11.52302,7.28153,3.71017,0,2.80522,4.95589,6.02028,7.19613,7.9752,8.30861,8.25911,8.03132,7.09639,6.40411,5.42562,4.45985,3.82091,4.27137,4.93071,6.03104,6.91965,7.07374,5.89178,4.18195,4.08966,4.14848,4.5853,5.07284,5.38999,5.97502,7.05952,9.39057,11.91373,18.72306,16.76722
