,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,4.39094,10.56329,18.41395,24.69307,31.42844,35.82593,38.97108,40.6455,41.20862,40.44481,37.93091,35.73657,31.23061,25.5815,19.37154,13.57995,10.46877,5.39561,4.72296,4.09152,4.36867,4.00733,2.82345,1.83135,1.35021,2.10643,3.35496,3.39925,5.40343,6.58004,8.60793,10.2578,10.97852,11.81163,12.91474,13.92416,16.05039,18.40215,26.12789,15.52651
690 nm,4.39094,0,6.03613,13.83684,20.15748,27.01035,31.53337,34.84423,36.7229,37.56911,37.09182,34.93843,32.98377,28.88616,23.68637,17.93519,12.55627,9.65712,4.84137,3.99979,3.20753,3.27787,2.78221,1.92573,1.89046,2.73218,3.45533,4.09176,3.7575,5.36444,6.51803,8.53507,10.17981,10.90282,11.71099,12.76423,13.74001,15.84494,18.19861,25.62518,15.33744
680 nm,10.56329,6.03613,0,8.20843,14.98988,22.36444,27.23125,30.81679,32.90499,33.96087,33.65999,31.71715,29.9183,26.12734,21.336,16.07623,11.19438,8.56841,4.11572,3.068,2.03924,1.89244,1.73186,2.41631,3.45353,4.71815,5.28341,5.21371,4.33891,5.30286,6.41779,8.42027,10.06055,10.78974,11.55751,12.52877,13.45146,15.53774,17.93232,25.31451,15.47119
671 nm,18.41395,13.83684,8.20843,0,7.25267,15.33112,20.70113,24.71864,27.16911,28.6168,28.65956,27.12284,25.60553,22.32815,18.16349,13.60723,9.40562,7.14884,3.22861,1.99432,0.5879,0.91905,2.65152,4.54003,5.89558,7.20816,7.56423,6.72623,5.17659,5.19949,6.24799,8.22347,9.85222,10.58901,11.28734,12.11949,12.95191,15.00611,17.47293,24.91896,16.10919
660 nm,24.69307,20.15748,14.98988,7.25267,0,8.49962,14.28906,18.72018,21.55729,23.45269,23.90051,22.83854,21.63619,18.90251,15.35706,11.45625,7.86373,5.9356,2.5499,1.36588,0.52778,1.81474,4.14411,6.34644,7.79231,9.09274,9.31732,7.95701,5.89285,5.06314,6.0319,7.95937,9.55493,10.28844,10.90292,11.57516,12.30086,14.29555,16.80541,24.22716,16.71661
650 nm,31.42844,27.01035,22.36444,15.33112,8.49962,0,6.12506,11.03284,14.38035,16.89708,17.91568,17.51678,16.74465,14.73255,11.97977,8.89149,6.03877,4.51167,1.87303,1.21906,1.53844,2.9541,5.53537,7.89258,9.38789,10.72847,10.93433,9.21185,6.67137,4.82454,5.66047,7.47627,8.97777,9.68214,10.15547,10.57329,11.12327,12.98053,15.48135,22.65997,17.07778
640 nm,35.82593,31.53337,27.23125,20.70113,14.28906,6.12506,0,5.14906,8.86081,11.86652,13.34607,13.47999,13.05012,11.60334,9.46115,6.98899,4.69135,3.46567,1.42674,1.28285,1.92014,3.37439,5.97861,8.32986,9.82836,11.26141,11.59761,9.88772,7.14762,4.57639,5.27825,6.95908,8.34417,9.00803,9.34636,9.52564,9.90783,11.63288,14.12017,21.18914,17.11831
632 nm,38.97108,34.84423,30.81679,24.71864,18.72018,11.03284,5.14906,0,3.93333,7.34633,9.24477,9.86993,9.75488,8.82387,7.23362,5.31458,3.51097,2.55107,0.98366,1.10074,1.78431,3.15236,5.58293,7.78223,9.22181,10.76212,11.36387,10.0497,7.37767,4.24605,4.77947,6.26232,7.48342,8.09031,8.27745,8.18777,8.37443,9.9585,12.44567,19.56846,16.88772
620 nm,40.6455,36.7229,32.90499,27.16911,21.55729,14.38035,8.86081,3.93333,0,3.64649,5.8696,6.90261,7.0511,6.55049,5.41934,3.96601,2.58708,1.86224,0.62608,0.55564,1.11653,2.26982,4.33599,6.22642,7.50656,9.0563,9.95805,9.42933,7.20971,3.80447,4.12891,5.3495,6.38346,6.93643,6.97564,6.59675,6.56216,8.0577,10.63274,18.10537,16.56636
610 nm,41.20862,37.56911,33.96087,28.6168,23.45269,16.89708,11.86652,7.34633,3.64649,0,2.45322,3.87574,4.29234,4.23805,3.59252,2.66625,1.83308,1.46554,0.97213,0.44405,0.05564,0.7881,2.34788,3.77916,4.76334,6.07527,7.11505,7.58633,6.31076,3.05667,3.08914,4.03506,4.967,5.53588,5.44131,4.68031,4.32636,5.98018,8.94542,17.28909,16.69244
