,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,3.94288,9.115,15.44982,20.61568,26.30776,30.22253,33.41125,35.7034,37.59709,38.52138,38.35808,37.74039,35.79891,32.53766,28.06454,22.76566,19.39229,12.18232,8.82514,4.77627,1.56306,1.57757,2.87387,3.52462,4.07631,3.8291,2.55522,1.95238,1.44477,3.1007,5.94846,8.49127,9.71788,10.98642,12.47167,13.71448,16.08676,18.61316,27.09605,15.34526
690 nm,3.94288,0,5.10385,11.39573,16.572,22.32467,26.3063,29.5831,31.98142,34.01887,35.09065,35.12348,34.64512,32.96241,30.02362,25.9217,21.02226,17.88953,11.18845,8.09253,4.36087,1.4163,1.37988,2.74157,3.58642,4.40059,4.21787,2.79755,2.01286,1.5818,3.25857,6.11133,8.67403,9.91153,11.17881,12.66765,13.92926,16.36736,18.9819,27.70108,15.70482
680 nm,9.115,5.10385,0,6.4719,11.88819,17.94999,22.15601,25.63284,28.19984,30.41121,31.62115,31.79262,31.40143,29.8706,27.12811,23.28893,18.75624,15.89533,9.8507,7.10151,3.79951,1.22134,1.30174,2.83713,3.92387,4.96888,4.79795,3.13491,2.08554,1.7651,3.46207,6.29275,8.85384,10.0906,11.33649,12.80802,14.08155,16.59341,19.31707,28.30611,16.21699
671 nm,15.44982,11.39573,6.4719,0,5.62327,12.04056,16.52684,20.2609,23.0498,25.497,26.90144,27.27348,27.01053,25.70348,23.25385,19.82061,15.8362,13.35418,8.17167,5.85452,3.09596,0.98387,1.50527,3.31552,4.63746,5.82243,5.58752,3.5745,2.17183,1.99647,3.71564,6.49017,9.01833,10.23676,11.43161,12.85369,14.12637,16.71491,19.56319,28.77231,16.96748
660 nm,20.61568,16.572,11.88819,5.62327,0,6.59985,11.28355,15.2214,18.19917,20.85987,22.45221,23.03051,22.90488,21.84644,19.733,16.74892,13.3037,11.16825,6.74785,4.79297,2.50176,0.79021,1.83237,3.89415,5.36943,6.59928,6.27532,3.95047,2.23946,2.19078,3.92564,6.62811,9.09892,10.2844,11.41181,12.76322,14.01707,16.64598,19.57098,28.7667,17.60867
650 nm,26.30776,22.32467,17.94999,12.04056,6.59985,0,4.81094,8.93807,12.12074,15.03378,16.86459,17.72357,17.79354,17.10131,15.47576,13.09594,10.32445,8.61156,5.11595,3.57122,1.83491,0.56846,2.22404,4.57768,6.20196,7.46041,7.03678,4.3695,2.30478,2.4061,4.15005,6.7312,9.08595,10.20215,11.21001,12.42794,13.62231,16.23126,19.15873,27.92712,18.09225
640 nm,30.22253,26.3063,22.15601,16.52684,11.28355,4.81094,0,4.21111,7.52335,10.61712,12.6304,13.71532,13.9465,13.55728,12.32369,10.41286,8.15382,6.76336,3.9844,2.72648,1.41686,0.38421,2.40699,4.9489,6.67019,7.97436,7.51845,4.64755,2.3387,2.55021,4.29039,6.74943,8.972,10.00664,10.88749,11.95751,13.06936,15.59183,18.43563,26.60302,18.0837
632 nm,33.41125,29.5831,25.63284,20.2609,15.2214,8.93807,4.21111,0,3.38839,6.6289,8.80685,10.10529,10.48986,10.38641,9.51519,8.03621,6.25202,5.16703,3.09587,2.09283,1.21984,0.18036,2.3451,4.99437,6.79051,8.20334,7.81042,4.84999,2.3498,2.65983,4.38021,6.68639,8.72727,9.6469,10.36328,11.2367,12.22335,14.57317,17.23593,24.55046,17.55749
620 nm,35.7034,31.98142,28.19984,23.0498,18.19917,12.12074,7.52335,3.38839,0,3.32698,5.63541,7.1158,7.63158,7.77101,7.206,6.09894,4.73762,3.93934,2.5806,1.82766,1.37752,0.40519,1.92037,4.55588,6.39045,8.0013,7.8263,4.95673,2.33756,2.7297,4.41155,6.53148,8.33276,9.09855,9.61178,10.24008,11.05839,13.15099,15.54605,21.87958,16.57996
610 nm,37.59709,34.01887,30.41121,25.497,20.85987,15.03378,10.61712,6.6289,3.32698,0,2.40573,4.06587,4.71722,5.11012,4.86916,4.17838,3.3331,2.91641,2.49251,2.06321,1.97561,1.18887,0.91932,3.36514,5.16024,7.05975,7.37835,4.9513,2.29203,2.77004,4.37143,6.19396,7.60447,8.12786,8.34493,8.62053,9.19709,10.93729,13.00181,18.42799,15.33848
600 nm,38.52138,35.09065,31.62115,26.90144,22.45221,16.86459,12.6304,8.80685,5.63541,2.40573,0,1.76277,2.51166,3.10051,3.12452,2.81452,2.50453,2.48233,2.79826,2.60746,2.70417,2.1031,0.53434,1.9214,3.52992,5.52459,6.37348,4.75731,2.20998,2.75779,4.23293,5.68745,6.65444,6.93158,6.86648,6.80765,7.17361,8.6792,10.58144,15.78154,14.62217
589 nm,38.35808,35.12348,31.79262,27.27348,23.03051,17.72357,13.71532,10.10529,7.1158,4.06587,1.76277,0,0.80126,1.53972,1.80959,1.91636,2.19732,2.51866,3.326,3.35068,3.62376,3.30498,2.20788,1.38817,1.80699,3.11985,4.17206,4.00091,2.01268,2.63946,3.82356,4.70372,5.14275,5.18864,4.8534,4.43092,4.61393,6.0984,8.06799,13.5818,14.21372
580 nm,37.74039,34.64512,31.40143,27.01053,22.90488,17.79354,13.9465,10.48986,7.63158,4.71722,2.51166,0.80126,0,0.79394,1.20254,1.56604,2.14864,2.60544,3.6036,3.74724,4.12512,3.98683,3.22859,2.44422,2.17378,2.26324,2.65808,2.96383,1.69812,2.41061,3.27778,3.85073,4.12167,4.12411,3.67664,3.01333,3.13354,4.84507,7.00739,12.87056,14.2032
570 nm,35.79891,32.96241,29.8706,25.70348,21.84644,17.10131,13.55728,10.38641,7.77101,5.11012,3.10051,1.53972,0.79394,0,0.56396,1.21405,2.08772,2.67169,3.8973,4.22924,4.78299,4.94005,4.71215,4.31453,4.03474,3.44699,2.6545,1.55516,0.89663,0.87537,1.81714,2.59116,2.95662,3.01879,2.44105,1.15777,1.21602,3.69913,6.1634,12.37112,14.22654
560 nm,32.53766,30.02362,27.12811,23.25385,19.733,15.47576,12.32369,9.51519,7.206,4.86916,3.12452,1.80959,1.20254,0.56396,0,0.74326,1.75779,2.41839,3.82504,4.33003,5.04515,5.46163,5.67039,5.622,5.50652,5.02496,4.32365,3.12248,1.62435,2.09324,2.57973,2.85623,3.07354,3.10408,2.48444,1.08761,1.05342,3.62974,6.12277,12.24204,14.04433
550 nm,28.06454,25.9217,23.28893,19.82061,16.74892,13.09594,10.41286,8.03621,6.09894,4.17838,2.81452,1.91636,1.56604,1.21405,0.74326,0,1.09617,1.81697,3.3914,4.05762,4.9243,5.56866,6.13445,6.35325,6.358,5.94036,5.2567,3.68299,1.6789,2.27167,3.09289,3.39462,3.50493,3.47868,2.85847,1.68788,1.65215,3.86669,6.26104,11.98136,13.39413
540 nm,22.76566,21.02226,18.75624,15.8362,13.3037,10.32445,8.15382,6.25202,4.73762,3.3331,2.50453,2.19732,2.14864,2.08772,1.75779,1.09617,0,0.73745,2.38676,3.14361,4.08078,4.8375,5.57602,5.93162,6.01779,5.68911,5.06069,3.50873,1.56177,2.13677,2.95481,3.28741,3.40755,3.38048,2.76088,1.57317,1.54665,3.7739,6.08404,11.14921,12.09708
