,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
700 nm,0,4.28619,9.93622,16.81051,22.33335,28.15866,31.83608,34.38055,35.59935,35.67465,34.54048,31.81095,29.56533,25.20913,20.06374,14.78999,9.98972,7.42063,2.92999,1.11486,1.31187,2.22611,2.63164,2.30705,2.16834,2.29515,2.16154,1.85161,1.58687,3.73352,4.81101,6.46494,7.73589,8.21857,8.73293,9.4612,10.19794,11.92598,13.91096,20.65986,10.71456
690 nm,4.28619,0,5.55329,12.35576,17.87694,23.77156,27.54804,30.24394,31.66745,32.04695,31.23261,28.91176,26.93477,23.02343,18.33617,13.48249,9.04862,6.67324,2.51951,0.90292,1.14163,1.95149,2.24291,2.1508,2.44102,2.98158,2.86929,2.18317,1.63667,3.78741,4.89636,6.54787,7.81118,8.28669,8.76974,9.4635,10.1992,11.98489,14.06845,21.10197,11.05583
680 nm,9.93622,5.55329,0,6.98026,12.74219,18.95041,22.96076,25.87941,27.51699,28.16156,27.60679,25.61898,23.87523,20.38237,16.17428,11.80546,7.82846,5.70591,2.00387,0.64069,0.9288,1.59335,1.85506,2.32996,3.12211,3.95842,3.78548,2.632,1.70669,3.8532,5.00478,6.64384,7.88774,8.34886,8.77937,9.41375,10.14399,12.0134,14.24362,21.68737,11.82735
671 nm,16.81051,12.35576,6.98026,0,5.98056,12.57506,16.90043,20.12941,22.07084,23.09392,22.90776,21.38357,19.95822,17.02502,13.44655,9.71107,6.32471,4.52826,1.42391,0.37574,0.6949,1.15642,1.67906,2.99053,4.18994,5.19728,4.89541,3.1943,1.79998,3.9294,5.1359,6.74677,7.95301,8.38885,8.73655,9.27475,9.99141,11.97558,14.40753,22.34849,13.16993
660 nm,22.33335,17.87694,12.74219,5.98056,0,6.80966,11.38054,14.88464,17.11473,18.5093,18.68811,17.617,16.49679,14.08839,11.08758,7.92432,5.0627,3.55862,1.04206,0.32265,0.55156,0.79685,1.8275,3.71065,5.13691,6.22116,5.79925,3.66229,1.87911,3.97933,5.2304,6.80115,7.95851,8.3639,8.62282,9.05469,9.75003,11.83184,14.43522,22.69854,14.46775
650 nm,28.15866,23.77156,18.95041,12.57506,6.80966,0,4.75033,8.54307,11.11909,12.98014,13.62447,13.12892,12.39232,10.63405,8.33579,5.86285,3.63797,2.50504,0.8961,0.5308,0.53031,0.40785,2.18563,4.52669,6.14737,7.30832,6.77205,4.17887,1.96494,4.0092,5.30406,6.80138,7.87335,8.22837,8.35702,8.62697,9.27825,11.45362,14.22158,22.61608,15.91429
640 nm,31.83608,27.54804,22.96076,16.90043,11.38054,4.75033,0,3.93115,6.73709,8.93799,9.93085,9.86676,9.41629,8.13813,6.35431,4.39435,2.66425,1.85167,1.06914,0.77518,0.66628,0.17872,2.41973,4.97874,6.71017,7.95647,7.38985,4.52352,2.01902,4.00306,5.31929,6.73747,7.7199,8.02416,8.0347,8.15217,8.75223,10.97104,13.82062,22.14824,16.76769
632 nm,34.38055,30.24394,25.87941,20.12941,14.88464,8.54307,3.93115,0,2.94352,5.4167,6.71187,7.02711,6.8279,5.96857,4.6342,3.14076,1.90911,1.46722,1.37736,1.06697,0.92674,0.24309,2.44956,5.09325,6.8949,8.28587,7.79594,4.78365,2.05222,3.95528,5.27185,6.58317,7.44879,7.68967,7.56863,7.5096,8.03939,10.26039,13.13023,21.21893,17.17419
620 nm,35.59935,31.66745,27.51699,22.07084,17.11473,11.11909,6.73709,2.94352,0,2.62666,4.14748,4.76294,4.76394,4.23754,3.26503,2.18327,1.48283,1.42736,1.74877,1.43193,1.31932,0.60977,2.17119,4.72655,6.5375,8.14848,7.90436,4.93865,2.06229,3.86286,5.15186,6.32577,7.04756,7.21433,6.95449,6.70029,7.14254,9.32783,12.16134,19.92088,17.10436
610 nm,35.67465,32.04695,28.16156,23.09392,18.5093,12.98014,8.93799,5.4167,2.62666,0,1.67563,2.56194,2.75377,2.55018,1.94734,1.39719,1.44074,1.71826,2.28041,2.01036,1.98967,1.35918,1.59374,3.67971,5.3557,7.23102,7.5398,4.98568,2.04514,3.67851,4.89122,5.85463,6.37518,6.44625,6.0104,5.48668,5.80934,7.97272,10.77609,18.32404,16.73613
